,Unnamed: 0,Submission ID,Title,Acceptance Status,Track,Authors,Main Contact Affiliation,Submission Type,ARRLink,sha1,url
108,108,941,N-gram Is Back: Residual Learning of Neural Text Generation with n-gram Language Model,Accept-Findings,Natural Language Generation,"Huayang Li, Deng Cai, Jin Xu and Taro Watanabe",Nara Institute of Science and Technology,Regular Long Paper,,e295c65efbec7754cc194af0999d489292a3c8b4,https://www.semanticscholar.org/reader/e295c65efbec7754cc194af0999d489292a3c8b4?experiments=&features=reader_skimming%3Atrue
110,110,949,Unsupervised Syntactically Controlled Paraphrase Generation with Abstract Meaning Representations,Accept-Findings,Unsupervised and Weakly-Supervised Methods in NLP,"Kuan-Hao Huang, Varun Iyer, Anoop Kumar, Sriram Venkatapathy, Kai-Wei Chang and Aram Galstyan",UCLA,Regular Short Paper,,2b5c66f07ba7253c75278978c7f150c9ab05a626,https://www.semanticscholar.org/reader/2b5c66f07ba7253c75278978c7f150c9ab05a626?experiments=&features=reader_skimming%3Atrue
112,112,961,Data Selection Curriculum for Neural Machine Translation,Accept-Findings,Machine Translation,"Tasnim Mohiuddin, Philipp Koehn, Vishrav Chaudhary, James Cross, Shruti Bhosale and Shafiq Joty",Nanyang Technological University,Regular Long Paper,,d6c4b31958fe9e4ff4f83e049ed5c6881653eb03,https://www.semanticscholar.org/reader/d6c4b31958fe9e4ff4f83e049ed5c6881653eb03?experiments=&features=reader_skimming%3Atrue
113,113,973,Text Editing as Imitation Game,Accept-Findings,Natural Language Generation,"Ning Shi, Bin Tang, Bo Yuan, Longtao Huang, Yewen Pu, Jie Fu and Zhouhan Lin",The University of Alberta,Regular Long Paper,,632c66f202c7b3abf488d7af0cea589694d6a875,https://www.semanticscholar.org/reader/632c66f202c7b3abf488d7af0cea589694d6a875?experiments=&features=reader_skimming%3Atrue
114,114,983,Seeded Hierarchical Clustering for Expert-Crafted Taxonomies,Accept-Findings,Unsupervised and Weakly-Supervised Methods in NLP,"Anish Saha, Amith Ananthram, Emily Allaway, Heng Ji and Kathleen McKeown",Columbia University,Regular Long Paper,,4e9e4403cb892a2c0facd257d832393793cbd5b4,https://www.semanticscholar.org/reader/4e9e4403cb892a2c0facd257d832393793cbd5b4?experiments=&features=reader_skimming%3Atrue
117,117,996,Investigating Ensemble Methods for Model Robustness Improvement of Text Classifiers,Accept-Findings,"Interpretability, Interactivity and Analysis of Models for NLP","Jieyu Zhao, Xuezhi Wang, Yao Qin, Jilin Chen and Kai-Wei Chang","University of Maryland, College Park",Regular Short Paper,,bb86ade4959e9d03e0c5321cde82d759759fd958,https://www.semanticscholar.org/reader/bb86ade4959e9d03e0c5321cde82d759759fd958?experiments=&features=reader_skimming%3Atrue
118,118,1007,Adaptive Ranking-based Sample Selection for Weakly Supervised Class-imbalanced Text Classification,Accept-Findings,Unsupervised and Weakly-Supervised Methods in NLP,"Linxin Song, Jieyu Zhang, Tianxiang Yang and Masayuki Goto",Waseda University,Regular Long Paper,,67d2979fb0c877a8c95194a7433db2e98b3a6d55,https://www.semanticscholar.org/reader/67d2979fb0c877a8c95194a7433db2e98b3a6d55?experiments=&features=reader_skimming%3Atrue
119,119,1011,ComFact: A Benchmark for Linking Contextual Commonsense Knowledge,Accept-Findings,Commonsense Reasoning,"Silin Gao, Jena D. Hwang, Saya Kanno, Hiromi Wakaki, Yuki Mitsufuji and Antoine Bosselut",EPFL,Regular Long Paper,,d1feb79f63ea52839f4a784fbd7d60bb73dd98dd,https://www.semanticscholar.org/reader/d1feb79f63ea52839f4a784fbd7d60bb73dd98dd?experiments=&features=reader_skimming%3Atrue
120,120,1014,Learning to Perform Complex Tasks through Compositional Fine-Tuning of Language Models,Accept-Findings,Commonsense Reasoning,"Victor Bursztyn, David Demeter, Doug Downey and Larry Birnbaum",Northwestern University,Regular Long Paper,,798abf86efae9e37b9b6a694ef87b6c1dbaab263,https://www.semanticscholar.org/reader/798abf86efae9e37b9b6a694ef87b6c1dbaab263?experiments=&features=reader_skimming%3Atrue
121,121,1027,Topic Taxonomy Expansion via Hierarchy-Aware Topic Phrase Generation,Accept-Findings,Information Retrieval and Text Mining,"Dongha Lee, Jiaming Shen, Seonghyeon Lee, Susik Yoon, Hwanjo Yu and Jiawei Han",University of Illinois at Urbana-Champaign,Regular Long Paper,,cb2249f14414c31bd8617dfc76c20c8874ba0284,https://www.semanticscholar.org/reader/cb2249f14414c31bd8617dfc76c20c8874ba0284?experiments=&features=reader_skimming%3Atrue
123,123,1032,Hyperdecoders: Instance-specific decoders for multi-task NLP,Accept-Findings,Machine Learning for NLP,Hamish Ivison and Matthew Peters,Allen Institute for AI,Regular Long Paper,,9060d9408fda662f717de99b004045ec1168e581,https://www.semanticscholar.org/reader/9060d9408fda662f717de99b004045ec1168e581?experiments=&features=reader_skimming%3Atrue
126,126,1045,Knowledge Injected Prompt Based Fine-tuning for Multi-label Few-shot ICD Coding,Accept-Findings,NLP Applications,"Zhichao Yang, Shufan Wang, Bhanu Pratap Singh Rawat, Avijit Mitra and hong yu",University of Massachusetts,Regular Long Paper,,0b80389b6ec62e0c03c822c2748f7c41d859bcb7,https://www.semanticscholar.org/reader/0b80389b6ec62e0c03c822c2748f7c41d859bcb7?experiments=&features=reader_skimming%3Atrue
127,127,1051,Do Language Models Understand Measurements?,Accept-Findings,Language Modeling and Analysis of Language Models,"Sungjin Park, Seungwoo Ryu and Edward Choi",KAIST,Regular Short Paper,,ff8f3dfd9e2f4a92310999722abefab202935521,https://www.semanticscholar.org/reader/ff8f3dfd9e2f4a92310999722abefab202935521?experiments=&features=reader_skimming%3Atrue
128,128,1070,Reconciliation of Pre-trained Models and Prototypical Neural Networks in Few-shot Named Entity Recognition,Accept-Findings,Efficient Methods for NLP,"Youcheng Huang, Wenqiang Lei, Jie Fu and Jiancheng Lv",Sichuan University,Regular Long Paper,,5c4070cb73a3c2045d99773bc36ba6520c501662,https://www.semanticscholar.org/reader/5c4070cb73a3c2045d99773bc36ba6520c501662?experiments=&features=reader_skimming%3Atrue
129,129,1071,HCL-TAT: A Hybrid Contrastive Learning Method for Few-shot Event Detection with Task-Adaptive Threshold,Accept-Findings,Information Extraction,"Ruihan Zhang, Wei Wei, Xian-Ling Mao, rui fang and Dangyang Chen",Huazhong University of Science and Technology,Regular Long Paper,,e6f2d8eeca0796914e3a6bcc311e153c5ad79224,https://www.semanticscholar.org/reader/e6f2d8eeca0796914e3a6bcc311e153c5ad79224?experiments=&features=reader_skimming%3Atrue
131,131,1101,DualNER: A Dual-Teaching framework for Zero-shot Cross-lingual Named Entity Recognition,Accept-Findings,Multilinguality,"Jiali Zeng, Yufan Jiang, Yongjing Yin, Xu Wang, Binghuai Lin and Yunbo Cao",Tencent,Regular Short Paper,,aa86949534a37baaeacad11692a75bbed8b5e018,https://www.semanticscholar.org/reader/aa86949534a37baaeacad11692a75bbed8b5e018?experiments=&features=reader_skimming%3Atrue
133,133,1134,Extractive Summarization of Legal Decisions using Multi-task Learning and Maximal Marginal Relevance,Accept-Findings,Ethic Concerns:Summarization,"Abhishek Agarwal, Shanshan Xu and Matthias Grabmair",Technical University of Munich,Regular Long Paper,,ad2c314353ad96447acf030b9ac3f7326b56e51a,https://www.semanticscholar.org/reader/ad2c314353ad96447acf030b9ac3f7326b56e51a?experiments=&features=reader_skimming%3Atrue
134,134,1154,ASDOT: Any-Shot Data-to-Text Generation with Pretrained Language Models,Accept-Findings,Natural Language Generation,"Jiannan Xiang, Zhengzhong Liu, Yucheng Zhou, Eric P. Xing and Zhiting Hu",Carnegie Mellon University,Regular Long Paper,,0269664dbaebc427b1a0860526f5ea3aac811e31,https://www.semanticscholar.org/reader/0269664dbaebc427b1a0860526f5ea3aac811e31?experiments=&features=reader_skimming%3Atrue
135,135,1157,FCGEC: Fine-Grained Corpus for Chinese Grammatical Error Correction,Accept-Findings,Resources and Evaluation,"Lvxiaowei Xu, Jianwang Wu, Jiawei Peng, Jiayu Fu and Ming Cai",Zhejiang Univeristy,Regular Long Paper,,c080f022c6f57d10dc8e8e44231c8995480b884d,https://www.semanticscholar.org/reader/c080f022c6f57d10dc8e8e44231c8995480b884d?experiments=&features=reader_skimming%3Atrue
138,138,1168,Not Just Plain Text! Fuel Document-Level Relation Extraction with Explicit Syntax Refinement and Subsentence Modeling,Accept-Findings,Information Extraction,"Zhichao Duan, Xiuxing Li, Zhenyu Li, Zhuo Wang and Jianyong Wang",Tsinghua University,Regular Long Paper,,bf7f629b49419a0da3e26bd0ae576011da6df932,https://www.semanticscholar.org/reader/bf7f629b49419a0da3e26bd0ae576011da6df932?experiments=&features=reader_skimming%3Atrue
139,139,1171,Self-supervised Rewiring of Pre-trained Speech Encoders: \\Towards Faster Fine-tuning with Less Labels in Speech Processing,Accept-Findings,"Speech, Vision, Robotics, Multimodal Grounding","Hao Yang, Jinming Zhao, Gholamreza Haffari and Ehsan Shareghi","Dept of Data Science and AI, Faculty of IT, Monash University",Regular Short Paper,,ea677fa717d9a9f97840e0d78ef87b734cb4a907,https://www.semanticscholar.org/reader/ea677fa717d9a9f97840e0d78ef87b734cb4a907?experiments=&features=reader_skimming%3Atrue
140,140,1177,RedApt: An Adaptor for wav2vec 2 Encoding \\ Faster and Smaller Speech Translation without Quality Compromise,Accept-Findings,"Speech, Vision, Robotics, Multimodal Grounding","Jinming Zhao, Hao Yang, Gholamreza Haffari and Ehsan Shareghi","Dept of Data Science and AI, Faculty of IT, Monash University",Regular Short Paper,,8890487320f8e4d588cd344ab72a770042267b2b,https://www.semanticscholar.org/reader/8890487320f8e4d588cd344ab72a770042267b2b?experiments=&features=reader_skimming%3Atrue
141,141,1181,How sensitive are translation systems to extra contexts? Mitigating gender bias in Neural Machine Translation models through relevant contexts.,Accept-Findings,Machine Translation,"Shanya Sharma, Manan Dey and Koustuv Sinha",SAP,Regular Long Paper,,1540759490a5d9ef77fbdd0b48aa632e56b06a94,https://www.semanticscholar.org/reader/1540759490a5d9ef77fbdd0b48aa632e56b06a94?experiments=&features=reader_skimming%3Atrue
146,146,1220,Are Large Pre-Trained Language Models Leaking Your Personal Information?,Accept-Findings,Language Modeling and Analysis of Language Models,"Jie Huang, Hanyin Shao and Kevin Chang",University of Illinois at Urbana-Champaign,Regular Short Paper,,77d25889a59041629e8b2a81aad56544144c6878,https://www.semanticscholar.org/reader/77d25889a59041629e8b2a81aad56544144c6878?experiments=&features=reader_skimming%3Atrue
148,148,1228,CQR-SQL: Conversational Question Reformulation Enhanced Context-Dependent Text-to-SQL Parsers,Accept-Findings,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Dongling Xiao, LinZheng Chai, Qian-Wen Zhang, Zhao Yan, Zhoujun Li and Yunbo Cao",Tencent,Regular Long Paper,,3fa26dac5909dd8b45c2fe1b430976ef2e8f5ff0,https://www.semanticscholar.org/reader/3fa26dac5909dd8b45c2fe1b430976ef2e8f5ff0?experiments=&features=reader_skimming%3Atrue
149,149,1236,Assisting the Human Fact-Checkers: Detecting All Previously Fact-Checked Claims in a Document,Accept-Findings,NLP Applications,"Shaden Shaar, Nikola Georgiev, Firoj Alam, Giovanni Da San Martino, Aisha Mohamed and Preslav Nakov","Qatar Computing Research Institute, HBKU",Regular Long Paper,,83329243f7d938368c1f87334bd08986affcc858,https://www.semanticscholar.org/reader/83329243f7d938368c1f87334bd08986affcc858?experiments=&features=reader_skimming%3Atrue
150,150,1260,No Word Embedding Model Is Perfect: Evaluating the Representation Accuracy for Social Bias in the Media,Accept-Findings,Computational Social Science and Cultural Analytics,"Maximilian Spliethöver, Maximilian Keiff and Henning Wachsmuth",Leibniz University Hannover,Regular Long Paper,,a261dbc155c5bb5c99201f757e3d2dab1b3dcc58,https://www.semanticscholar.org/reader/a261dbc155c5bb5c99201f757e3d2dab1b3dcc58?experiments=&features=reader_skimming%3Atrue
152,152,1303,Bitext Mining Using Distilled Sentence Representations for Low-Resource Languages,Accept-Findings,Machine Translation,"Kevin Heffernan, Onur Çelebi and Holger Schwenk",Meta AI Research,Regular Long Paper,,2cacc556ca3f362b09e22b875abffc35a7073fee,https://www.semanticscholar.org/reader/2cacc556ca3f362b09e22b875abffc35a7073fee?experiments=&features=reader_skimming%3Atrue
153,153,1309,Towards Generalizable and Robust Text-to-SQL Parsing,Accept-Findings,"Syntax, Parsing and their Applications","Chang Gao, Bowen Li, Wenxuan Zhang, Wai Lam, Binhua Li, Fei Huang, Luo Si and Yongbin Li",The Chinese University of Hong Kong,Regular Long Paper,,7e942e813e3fb814f2d0b997ae849548a9e40638,https://www.semanticscholar.org/reader/7e942e813e3fb814f2d0b997ae849548a9e40638?experiments=&features=reader_skimming%3Atrue
154,154,1316,EdiT5: Semi-Autoregressive Text Editing with T5 Warm-Start,Accept-Findings,Natural Language Generation,"Jonathan Mallinson, Jakub Adamek, Eric Malmi and Aliaksei Severyn",Google,Regular Long Paper,,8ba66cb690ff3a37c63ff0f67b595f03dd78dc75,https://www.semanticscholar.org/reader/8ba66cb690ff3a37c63ff0f67b595f03dd78dc75?experiments=&features=reader_skimming%3Atrue
156,156,1321,A Neural-Symbolic Approach to Natural Language Understanding,Accept-Findings,Ethic Concerns:Efficient Methods for NLP,"Zhixuan Liu, Zihao Wang, Yuan Lin and Hang Li",ByteDance,Regular Long Paper,,51571ce19e5e5af308acfeb62320581440926a38,https://www.semanticscholar.org/reader/51571ce19e5e5af308acfeb62320581440926a38?experiments=&features=reader_skimming%3Atrue
164,164,1419,Wait-info Policy: Balancing Source and Target at Information Level for Simultaneous Machine Translation,Accept-Findings,Machine Translation,"Shaolei Zhang, Shoutao Guo and Yang Feng","Institute of Computing Technology, Chinese Academy of Sciences",Regular Long Paper,,902f4adc08bf44bfafb58cf69ce41deb8a061809,https://www.semanticscholar.org/reader/902f4adc08bf44bfafb58cf69ce41deb8a061809?experiments=&features=reader_skimming%3Atrue
165,165,1424,Turning Fixed to Adaptive: Integrating Post-Evaluation into Simultaneous Machine Translation,Accept-Findings,Machine Translation,"Shoutao Guo, Shaolei Zhang and Yang Feng","Institute of Computing Technology, Chinese Academy of Sciences",Regular Long Paper,,4afef2ea406e6c789de1609100d2350bcd71c586,https://www.semanticscholar.org/reader/4afef2ea406e6c789de1609100d2350bcd71c586?experiments=&features=reader_skimming%3Atrue
166,166,1446,Alleviating Sparsity of Open Knowledge Graphs with Ternary Contrastive Learning,Accept-Findings,Information Extraction,"Qian Li, Shafiq Joty, Daling Wang, Shi Feng and Yifei Zhang",Northeastern University and Nanyang Technological University,Regular Long Paper,,a80cd69bec615984b4eab7f55026fabffd315d3b,https://www.semanticscholar.org/reader/a80cd69bec615984b4eab7f55026fabffd315d3b?experiments=&features=reader_skimming%3Atrue
171,171,1492,Syntax-guided Localized Self-attention by Constituency Syntactic Distance,Accept-Findings,"Syntax, Parsing and their Applications","Shengyuan Hou, Jushi Kai, Haotian Xue, Bingyu Zhu, Bo Yuan, Longtao Huang, Xinbing Wang and Zhouhan Lin",Shanghai Jiaotong University,Regular Short Paper,,50e6b4e452107799cd775b0b0f6726d44173d564,https://www.semanticscholar.org/reader/50e6b4e452107799cd775b0b0f6726d44173d564?experiments=&features=reader_skimming%3Atrue
174,174,1501,Event-Centric Question Answering via Contrastive Learning and Invertible Event Transformation,Accept-Findings,Question Answering,"Junru Lu, Xingwei Tan, Gabriele Pergola, Lin Gui and Yulan He",University of Warwick,Regular Long Paper,,a376a3af76e4263f786339b16b9650ace7c80043,https://www.semanticscholar.org/reader/a376a3af76e4263f786339b16b9650ace7c80043?experiments=&features=reader_skimming%3Atrue
175,175,1523,Label-Driven Denoising Framework for Multi-Label Few-Shot Aspect Category Detection,Accept-Findings,"Sentiment Analysis, Stylistic Analysis, and Argument Mining","Fei Zhao, Yuchen Shen, Zhen Wu and Xinyu Dai",Nanjing University,Regular Long Paper,,1b40defa78efe53e90ef1b724b18a02405b4f653,https://www.semanticscholar.org/reader/1b40defa78efe53e90ef1b724b18a02405b4f653?experiments=&features=reader_skimming%3Atrue
176,176,1537,Visual Named Entity Linking: A New Dataset and A Baseline,Accept-Findings,"Speech, Vision, Robotics, Multimodal Grounding","Wen Xiang Sun, Yixing Fan, Jiafeng Guo, Ruqing Zhang and Xueqi Cheng","Institute of Computing Technology, CAS.",Regular Long Paper,,c0bb6496edb5ddf30713cdb425b7c3e4205f6ae3,https://www.semanticscholar.org/reader/c0bb6496edb5ddf30713cdb425b7c3e4205f6ae3?experiments=&features=reader_skimming%3Atrue
177,177,1544,MAGMA – Multimodal Augmentation of Generative Models through Adapter-based Finetuning,Accept-Findings,"Speech, Vision, Robotics, Multimodal Grounding","Constantin Eichenberg, Sidney Black, Samuel Weinbach, Letitia Parcalabescu and Anette Frank",Aleph-Alpha,Regular Long Paper,,bdea16e93fc70f316002e5f6aac8ce17388c6ee9,https://www.semanticscholar.org/reader/bdea16e93fc70f316002e5f6aac8ce17388c6ee9?experiments=&features=reader_skimming%3Atrue
178,178,1549,Towards Tracing Knowledge in Language Models Back to the Training Data,Accept-Findings,"Interpretability, Interactivity and Analysis of Models for NLP","Ekin Akyurek, Tolga Bolukbasi, Frederick Liu, Binbin Xiong, Ian Tenney, Jacob Andreas and Kelvin Guu",Massachusetts Institute of Technology,Regular Long Paper,,a2929c7f3b35358122eed8a35015a9b1834d5257,https://www.semanticscholar.org/reader/a2929c7f3b35358122eed8a35015a9b1834d5257?experiments=&features=reader_skimming%3Atrue
179,179,1550,ReaRev: Adaptive Reasoning for Question Answering over Knowledge Graphs,Accept-Findings,Question Answering,Costas Mavromatis and George Karypis,University of Minnesota,Regular Long Paper,,543cefea7ad2a94c6bb2d8f0d0d6384e1547a9e7,https://www.semanticscholar.org/reader/543cefea7ad2a94c6bb2d8f0d0d6384e1547a9e7?experiments=&features=reader_skimming%3Atrue
181,181,1586,TAPE: Assessing Few-shot Russian Language Understanding,Accept-Findings,Resources and Evaluation,"Ekaterina Taktasheva, Alena Fenogenova, Denis Shevelev, Nadezhda Katricheva, Maria Tikhonova, Albina Ramilevna Akhmetgareeva, Oleg Vadimovich Zinkevich, Anastasiia Y. Bashmakova, Svetlana V. Iordanskaia, Valentina Kurenshchikova, Alena Spiridonova, Ekaterina Artemova, Tatiana Shavrina and Vladislav Mikhailov",HSE University,Regular Long Paper,,ce9d803168d64cd7caf0340041cb7bb8b0ac07f7,https://www.semanticscholar.org/reader/ce9d803168d64cd7caf0340041cb7bb8b0ac07f7?experiments=&features=reader_skimming%3Atrue
